Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Guitar Force,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23535,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Gurthang,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=24465,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Gágor,Slovakia,,"crust, death, thrash",,,,,https://devel.basin.cz/en/c/news,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 Basinfirefest lineup
Hajva,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20726,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Hate,Poland,,"black metal, death",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=523,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
HeadWitch,Poland,,,,https://www.instagram.com/headwitch_band,,,https://www.instagram.com/headwitch_band,Current public source checked 2026-09-23,2026-09-23,Active,High
Headbanger,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=10736,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Hegemone,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20853,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Hell United,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14111,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Hellbiter,Germany,,heavy metal,,,,,https://www.tourforger.com/concerts/heavy-metal/germany/2026,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 club listings
Hellectricity,Poland,Warsaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14437,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Hellspawn,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=13759,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Hellveto,Poland,Ostroeka,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=7228,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Heretique,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=10940,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Hexfire,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9432,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Holotropic,Slovakia,,progressive metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18895,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Horisun,Poland,Katowice,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=6068,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Horizon,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12232,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Horn,Germany,Paderborn,black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23990,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Horrorscope,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=8234,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Hortus,Poland,Boguszów-Gorce,,,https://www.facebook.com/hortusband.official,,,https://www.szarpidrut.pl/zespol/hortus,2026 activity verified; current band page checked 2026-09-23,2026-09-23,Active,High
Hostia,Poland,Warsaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=30293,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Human Fortress,Germany,Hanover,power metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=43,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Human Prey,Germany,Leipzig,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18875,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Hunter,Poland,Szczytno,"heavy metal, thrash",hunterianie@gmail.com,,,,https://www.metal-archives.com/bands/Hunter/6399,Active — Metal Archives record checked 2026-09-23,2026-09-23,Active,High,Band / general,https://www.metal-archives.com/,,Current record/addition verified in 2026. Current public contact verified.
Hydra,Germany,Bad Abbach,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25405,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
