index,"press/media registry — context only, no sheet intake",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
37,Agnieszka Obszańska,radio,,agnieszka.obszanska@polskieradio.pl,https://polskieradio.pl,,t,f,f,f,50,50.0,50.0
38,Agonia Records,patron,,info@agoniarecords.com,https://agoniarecords.com,,t,f,f,f,50,50.0,50.0
39,AgrAWFka Gazeta Studentów AWF-u,local_press,,agrawfka@gazeta.pl,https://gazeta.pl,,t,f,f,f,50,50.0,50.0
40,Akademia Art Rocka,radio,,andrzej@proradio.pl,https://proradio.pl,,t,f,f,f,50,50.0,50.0
41,Aktivist,local_press,,skawalerowicz@valkea.com,https://valkea.com,,t,f,f,f,50,50.0,50.0
42,Albatros Records,patron,,albatrosrecords@albatrosrecords.pl,https://albatrosrecords.pl,,t,f,f,f,50,50.0,50.0
43,Ale Kultura,local_press,,redakcja@alekultura.com,https://alekultura.com,,t,f,f,f,50,50.0,50.0
44,Ale Lipa!,radio,,lipa@wosp.org.pl,https://wosp.org.pl,,t,f,f,f,50,50.0,50.0
45,Aleksandra Galant,radio,,aleksandra.galant@meteor.amu.edu.pl,https://meteor.amu.edu.pl,,t,f,f,f,50,50.0,50.0
46,Alex,radio,,sambor@radioalex.pl,https://radioalex.pl,,t,f,f,f,50,50.0,50.0
47,Alfabet Rockowy,radio,,valdemort1@wp.pl,https://wp.pl,,t,f,f,f,50,50.0,50.0
48,All About Music,local_press,,lukasz.mantiuk@allaboutmusic.pl,https://allaboutmusic.pl,,t,f,f,f,50,50.0,50.0
49,All Seeing Eye Art,patron,,allseeingeyeart@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
50,Alt-itude,radio,,olga.matusik@radioaktywne.pl,https://radioaktywne.pl,,t,f,f,f,50,50.0,50.0
51,AltMundi,local_press,,zapytajnia@altmundi.pl,https://altmundi.pl,,t,f,f,f,50,50.0,50.0
52,Alter Radio,radio,,redakcja@alteradio.pl,https://alteradio.pl,,t,f,f,f,50,50.0,50.0
53,Altercore,reviewer,,info@altercore.pl,https://altercore.pl,,t,f,f,f,50,50.0,50.0
54,Alternator,radio,,alternator@zak.lodz.pl,https://zak.lodz.pl,,t,f,f,f,50,50.0,50.0
55,Amazon Music for Artists new release pitch,creator,,,https://artists.amazonmusic.com/pitch,https://artists.amazonmusic.com/pitch,t,f,f,f,50,50.0,50.0
56,Ambasada [RIP],radio,,ambasada@afera.com.pl,https://afera.com.pl,,t,f,f,f,50,50.0,50.0
57,Ampersand Records,patron,,ampersand@ampersandrecords.com,https://ampersandrecords.com,,t,f,f,f,50,50.0,50.0
58,Amplify the Noise,local_press,,,https://amplifythenoise.com,,t,f,f,f,50,50.0,50.0
59,Angry Metal Guy,local_press,,contact@angrymetalguy.com,https://angrymetalguy.com,,t,f,f,f,50,50.0,50.0
60,Ania Maludzińska,radio,,ania.maludzinska@rockserwis.fm,https://rockserwis.fm,,t,f,f,f,50,50.0,50.0
61,Anioł Beskidów,radio,,radio@diecezja.bielsko.pl,https://diecezja.bielsko.pl,,t,f,f,f,50,50.0,50.0
62,Anita Brzyszcz,radio,,kultura@zak.lodz.pl,https://zak.lodz.pl,,t,f,f,f,50,50.0,50.0
63,Anna Groblinska,radio,,a.groblinska@radiolodz.pl,https://radiolodz.pl,,t,f,f,f,50,50.0,50.0
64,Anna Helena Szymborska,creator,,annahelenaszymborska@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
65,"Anna Winkler, Dawid Surdeko",radio,,dawid.surdeko@meteor.amu.edu.pl,https://meteor.amu.edu.pl,,t,f,f,f,50,50.0,50.0
66,Antena Krzyku,patron,,sklep@rockers.pl,https://rockers.pl,,t,f,f,f,50,50.0,50.0
67,Antidotum Rocknrollowe,radio,,pawulon@radio-aspekt.de,https://radio-aspekt.de,,t,f,f,f,50,50.0,50.0
68,Antykwariat,radio,,anna.partyka@radioaktywne.pl,https://radioaktywne.pl,,t,f,f,f,50,50.0,50.0
69,Antymuza,local_press,,redakcja@antymuza.pl,https://antymuza.pl,,t,f,f,f,50,50.0,50.0
70,Antyradio,radio,,joanna.fijalkowska@antyradio.pl,https://antyradio.pl,,t,f,f,f,50,50.0,50.0
71,Arcy Radio,radio,,redakcja@arcyradio.pl,https://arcyradio.pl,,t,f,f,f,50,50.0,50.0
72,Arcyportal,local_press,,redakcja@arcyportal.pl,https://arcyportal.pl,,t,f,f,f,50,50.0,50.0
73,Art.Rockowy Świat [RIP],radio,,wojciech.lewandowski@bemowo.fm,https://bemowo.fm,,t,f,f,f,50,50.0,50.0
74,Aspekt,radio,,info@radio-aspekt.de,https://radio-aspekt.de,,t,f,f,f,50,50.0,50.0
75,Asylum Metal Radio,radio,,music@asylummetalradio.com,https://asylummetalradio.com,,t,f,f,f,50,50.0,50.0
76,Auxun Arts,local_press,,axunarts@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
77,AwG Radio,radio,,saper888@poczta.pl,https://poczta.pl,,t,f,f,f,50,50.0,50.0
78,Awesome Music Place,patron,,awesomemusicplace@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
79,Azyll,radio,,kontakt@radioazyll.pl,https://radioazyll.pl,,t,f,f,f,50,50.0,50.0
80,B.e.s.t. Niezależna Gazeta Studentów Uniwersytetu Ekonomicznego,local_press,,best@ue.wroc.pl,https://ue.wroc.pl,,t,f,f,f,50,50.0,50.0
81,BAD LUCK Arek,creator,,zarazz@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
82,BAS - Bardzo Akademicka Stacja,radio,,bartek.zasieczny@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
83,BB365 info,local_press,,darek.m@bb365.info,https://bb365.info,,t,f,f,f,50,50.0,50.0
84,BDTA,patron,,info@bdta.pl,https://bdta.pl,,t,f,f,f,50,50.0,50.0
85,BIT - Akademickie Radio BIT,radio,,kontakt.radiobit@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
86,BLACK FITS ME,creator,,gosiajankowska@gmx.com,https://gmx.com,,t,f,f,f,50,50.0,50.0
87,BLACK MOON DESIGN,creator,,blackmoondsgn@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
88,BLACKBIRD ILLUSTRATION - Bartosz Kosowski,creator,,bartosz.kosowski@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
89,BSFD records,patron,,bsfd.records@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
90,Backstage [RIP],radio,,backstage945@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
91,Bajka,radio,,biuro@radiobajka.pl,https://radiobajka.pl,,t,f,f,f,50,50.0,50.0
92,Bajkonur Records,patron,,bajkonur.rec@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
93,Bal X,patron,,hrabia@balx.pl,https://balx.pl,,t,f,f,f,50,50.0,50.0
94,Band.pl Records,patron,,records@band.pl,https://band.pl,,t,f,f,f,50,50.0,50.0
95,Baobab,radio,,baobab@radiobaobab.pl,https://radiobaobab.pl,,t,f,f,f,50,50.0,50.0
96,Barbara Dziadosz,creator,,schreibbarbara@yahoo.de,https://yahoo.de,,t,f,f,f,50,50.0,50.0
97,Bardzo Uniwersyteckie Czasopismo UAM,local_press,,paulinalubieniecka@o2.pl,https://o2.pl,,t,f,f,f,50,50.0,50.0
98,Barock,local_press,,kominek@barock.pl,https://barock.pl,,t,f,f,f,50,50.0,50.0
99,Bartosz Kicior i Tomasz Gałek / Agnieszki Nasternak i Kamil Barnowski,radio,,strefamuzyki@radio17.pl,https://radio17.pl,,t,f,f,f,50,50.0,50.0
100,Bartoszyce,radio,,radio@radiobartoszyce.pl,https://radiobartoszyce.pl,,t,f,f,f,50,50.0,50.0
101,Bartys,radio,,piotrbartys@radioram.pl,https://radioram.pl,,t,f,f,f,50,50.0,50.0
102,Baryś,radio,,goraca.siedemnastka@radio17.pl,https://radio17.pl,,t,f,f,f,50,50.0,50.0
103,Bawisz Się PL,local_press,,kontakt@bawiszsie.pl,https://bawiszsie.pl,,t,f,f,f,50,50.0,50.0
104,Bayer FM,radio,,poczta@bayerfm.eu,https://bayerfm.eu,,t,f,f,f,50,50.0,50.0
105,Be Controversial,reviewer,,sklep@be-con.pl,https://be-con.pl,,t,f,f,f,50,50.0,50.0
106,Bear Metal Radio,radio,,djbear@bearmetalradio.com,https://bearmetalradio.com,,t,f,f,f,50,50.0,50.0
107,Beast of Prey,patron,,beastofprey@op.pl,https://op.pl,,t,f,f,f,50,50.0,50.0
108,Bezsenność wczesną porą,radio,,bezsennosc@zak.lodz.pl,https://zak.lodz.pl,,t,f,f,f,50,50.0,50.0
109,Białystok,radio,,radiobia@radio.bialystok.pl,https://radio.bialystok.pl,,t,f,f,f,50,50.0,50.0
110,Biba Info,local_press,,klub@bibainfo.pl,https://bibainfo.pl,,t,f,f,f,50,50.0,50.0
111,Bielsko,radio,,radio@radio.bielsko.pl,https://radio.bielsko.pl,,t,f,f,f,50,50.0,50.0
112,Big Flow,patron,,biuro@bigflow.pl,https://bigflow.pl,,t,f,f,f,50,50.0,50.0
113,Biodro Records,patron,,pr@biodro.pl,https://biodro.pl,,t,f,f,f,50,50.0,50.0
114,Biznes Music,local_press,,redakcja@biznes-music.pl,https://biznes-music.pl,,t,f,f,f,50,50.0,50.0
115,Blabbermouth,local_press,,news@roadrunner.com,https://blabbermouth.net,,t,f,f,f,50,50.0,50.0
116,Black Garden,reviewer,,sklepblackgarden@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
117,Black Wall Magazine,local_press,,black.wall.magazine@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
118,Black Wednesday Records,patron,,info@black-wednesday.pl,https://black-wednesday.pl,,t,f,f,f,50,50.0,50.0
119,Blast Beat 105,radio,,blastbeat105@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
120,Blog Nawiedzonego,local_press,,nawiedzonestudio@afera.com.pl,https://afera.com.pl,,t,f,f,f,50,50.0,50.0
121,Bodek Pezda,patron,,bodek247@interia.pl,https://interia.pl,,t,f,f,f,50,50.0,50.0
122,Bogoria,radio,,poczta@radiobogoria.pl,https://radiobogoria.pl,,t,f,f,f,50,50.0,50.0
123,Bogumił Starzyński i Bartek Gruchlik,radio,,gruchlik@radio.katowice.pl,https://radio.katowice.pl,,t,f,f,f,50,50.0,50.0
124,Bon Ton,radio,,radio@bonton.chelm.pl,https://bonton.chelm.pl,,t,f,f,f,50,50.0,50.0
125,Bonomuza - Życie Jest Muzyką,local_press,,bonomuza@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
126,Box Music,patron,,biuro@boxmusic.com.pl,https://boxmusic.com.pl,,t,f,f,f,50,50.0,50.0
127,BraveWords — metal news + Facebook group (9k members),local_press,,,https://facebook.com/groups/bravewordsmetal,https://bravewords.com,t,f,f,f,50,50.0,50.0
128,Breaking MusicS,local_press,,breakingmusics@op.pl,https://op.pl,,t,f,f,f,50,50.0,50.0
129,Brennnessel,patron,,contact@brennnessel.pl,https://brennnessel.pl,,t,f,f,f,50,50.0,50.0
130,Bunkier,radio,,atarzyna.foksinska@afera.com.pl,https://afera.com.pl,,t,f,f,f,50,50.0,50.0
131,Burlesque Shop,reviewer,,kontakt@sklepburleska.pl,https://sklepburleska.pl,,t,f,f,f,50,50.0,50.0
132,Bydgoska Scena,local_press,,info@bydgoskascena.pl,https://bydgoskascena.pl,,t,f,f,f,50,50.0,50.0
133,BziCool,local_press,,redakcja@bzicool.pl,https://bzicool.pl,,t,f,f,f,50,50.0,50.0
134,Błażej Janusz,radio,,blazej.janusz@meteor.amu.edu.pl,https://meteor.amu.edu.pl,,t,f,f,f,50,50.0,50.0
135,CASSIARAMONE,creator,,cassiaramone.art@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
136,CCM,radio,,sekretariat@radioccm.pl,https://radioccm.pl,,t,f,f,f,50,50.0,50.0
137,CGM,local_press,,redakcja@cgm.pl,https://cgm.pl,,t,f,f,f,50,50.0,50.0
138,COM TV,local_press,,comtv@comtv.pl,https://comtv.pl,,t,f,f,f,50,50.0,50.0
139,CUERO Y METAL EN CÓRDOBA,radio,,cueroymetalradio@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
140,CUPCAKE Aleksandra Marchocka,creator,,aleksandramarchocka@interia.pl,https://interia.pl,,t,f,f,f,50,50.0,50.0
141,CW 24 TV,local_press,,redakcja@cw24.tv,https://cw24.tv,,t,f,f,f,50,50.0,50.0
142,Can't Tell You Records,patron,,canttellyourecords@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
143,Cantara Music PL,local_press,,cantara@cantaramusic.pl,https://cantaramusic.pl,,t,f,f,f,50,50.0,50.0
144,Carton,reviewer,,shop@carton.pl,https://carton.pl,,t,f,f,f,50,50.0,50.0
145,Centrum Informacji Turystycznej w Łodzi,local_press,,cit@cit.lodz.pl,https://cit.lodz.pl,,t,f,f,f,50,50.0,50.0
146,Centrum Kalisz,radio,,radio@rc.fm,https://rc.fm,,t,f,f,f,50,50.0,50.0
147,Chaos Management,patron,,m.pil@chaos.com.pl,https://chaos.com.pl,,t,f,f,f,50,50.0,50.0
148,ChillSoundsGoodMusic,local_press,,chillsoundsgoodmusic@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
149,Chillout Arcyszalenczy,local_press,,han.kwasna@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
150,Choszczno,radio,,redakcja@radiochoszczno.pl,https://radiochoszczno.pl,,t,f,f,f,50,50.0,50.0
151,Chrześcijanin TV,local_press,,biuro@chrzescijanin.tv,https://chrzescijanin.tv,,t,f,f,f,50,50.0,50.0
152,Ciemna Strona Meteora,radio,,blazej.jelonek@meteor.amu.edu.pl,https://meteor.amu.edu.pl,,t,f,f,f,50,50.0,50.0
153,City of Poznan,local_press,,mim@man.poznan.pl,https://man.poznan.pl,,t,f,f,f,50,50.0,50.0
154,Co Jest Grane,local_press,,redakcja_portalu@agora.pl,https://agora.pl,,t,f,f,f,50,50.0,50.0
155,Co Mi w duszy Gra,local_press,,comiwduszygra90@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
156,Co Za Dzień - Radom,local_press,,redakcja@cozadzien.com.pl,https://cozadzien.com.pl,,t,f,f,f,50,50.0,50.0
157,Co robić w Łodzi?,local_press,,kontakt@corobicwlodzi.pl,https://corobicwlodzi.pl,,t,f,f,f,50,50.0,50.0
158,"Co, gdzie, kiedy w Częstochowie",local_press,,cgk@czestochowa.um.gov.pl,https://czestochowa.um.gov.pl,,t,f,f,f,50,50.0,50.0
159,CollarMe,reviewer,,collarme.info@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
160,Considered Dead,local_press,,considereddeadblog@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
161,ContraBanda Music,patron,,rzeznik@contrabandamusic.com,https://contrabandamusic.com,,t,f,f,f,50,50.0,50.0
162,Cooltura - Polish Weekly Magazine,local_press,,info@cooltura.co.uk,https://cooltura.co.uk,,t,f,f,f,50,50.0,50.0
163,Coolturalny Białystok,local_press,,info@coolturalnybialystok.pl,https://coolturalnybialystok.pl,,t,f,f,f,50,50.0,50.0
164,Core Storage — metalcore/hardcore/deathcore,creator,,corestorageplaylist@gmail.com,,https://open.spotify.com/artist/66tK1NW5Rji1yauiwPrMdz,t,f,f,f,50,50.0,50.0
165,Creative Music,patron,,info@creativemusic.pl,https://creativemusic.pl,,t,f,f,f,50,50.0,50.0
166,Crossover,radio,,aleksander.wdowinski@afera.com.pl,https://afera.com.pl,,t,f,f,f,50,50.0,50.0
167,Crunchy Human Children,patron,,info@crunchyhumanchildren.com,https://crunchyhumanchildren.com,,t,f,f,f,50,50.0,50.0
168,Crushing Metalcore — SuperficialPlagues,creator,,superficialplagues@gmail.com,,https://open.spotify.com/playlist/09786nN4Pz8eYz2CdFI7PP,t,f,f,f,50,50.0,50.0
169,Culture PL,local_press,,wkostyrko@iam.pl,https://iam.pl,,t,f,f,f,50,50.0,50.0
170,Culturowo,local_press,,kontakt@culturowo.pl,https://culturowo.pl,,t,f,f,f,50,50.0,50.0
171,Cutting Edge Metal — metal promotion,local_press,,,https://cutting-edge-metal.rocks,https://cutting-edge-metal.rocks,t,f,f,f,50,50.0,50.0
172,Czarno Białe Klawisze,radio,,bk@proradio.pl,https://proradio.pl,,t,f,f,f,50,50.0,50.0
173,Czas Kultury,local_press,,redakcja@czaskultury.pl,https://czaskultury.pl,,t,f,f,f,50,50.0,50.0
174,Czechowicka Scena Muzyczna,local_press,,czsmusic@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
175,Czerwony Diabełek (Red Devil),patron,,rdevil@poczta.onet.pl,https://poczta.onet.pl,,t,f,f,f,50,50.0,50.0
176,DE CORE,creator,,decoregroup@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
177,DJENTCORE,creator,,,https://noiselash.com,,t,f,f,f,50,50.0,50.0
178,DK13 - Darek Krzak,creator,,dk13_design@wp.pl,https://wp.pl,,t,f,f,f,50,50.0,50.0
179,DNA muzyki,local_press,,dnamuzykinet@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
180,DRAW Records,patron,,info@drawrecords.com,https://drawrecords.com,,t,f,f,f,50,50.0,50.0
181,DRAWING OF THE DAY - Daniel Horowitz,creator,,daniel@daniel-horowitz.com,https://daniel-horowitz.com,,t,f,f,f,50,50.0,50.0
182,DUDU Agata Dudek,creator,,illu@agatadudek.pl,https://agatadudek.pl,,t,f,f,f,50,50.0,50.0
183,DYNAMIC DESINGS,creator,,dnm.dsg@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
184,"Dagmara Serek, Artur Kasprzycki",radio,,magmuz@zak.lodz.pl,https://zak.lodz.pl,,t,f,f,f,50,50.0,50.0
185,DailyPlaylists free standard submissions,creator,,,https://dailyplaylists.com/,https://dailyplaylists.com/en/faq/,t,f,f,f,50,50.0,50.0
186,"Damian Graczyk, Katarzyna Kraska, Anna Maria Budecka",radio,,fabryka@zak.lodz.pl,https://zak.lodz.pl,,t,f,f,f,50,50.0,50.0
187,Damned Pages,reviewer,,damnedpages@yahoo.com,https://yahoo.com,,t,f,f,f,50,50.0,50.0
188,Daniel Archetka,radio,,kps@zak.lodz.pl,https://zak.lodz.pl,,t,f,f,f,50,50.0,50.0
189,Dark Inclined — gothic/alternative metal,creator,,darkinclinedmedia@gmail.com,,https://open.spotify.com/artist/2txEW5PBrkWIh82var0Fwa,t,f,f,f,50,50.0,50.0
190,Dark Market,reviewer,,dark_market@o2.pl,https://o2.pl,,t,f,f,f,50,50.0,50.0
191,Deathproof Clothing,reviewer,,deathproof.co@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
192,Defense Records,patron,,defensemerch@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
193,Dekulturator,local_press,,dekulturatorpl@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
194,Discostacja,local_press,,fb@itv.net.pl,https://itv.net.pl,,t,f,f,f,50,50.0,50.0
195,Dla Ciebie TV,local_press,,biuro@ct.jaworzno.pl,https://ct.jaworzno.pl,,t,f,f,f,50,50.0,50.0
196,Dla Studenta,local_press,,redakcja@dlastudenta.pl,https://dlastudenta.pl,,t,f,f,f,50,50.0,50.0
197,Dobra Polska Muzyka,local_press,,redakcja@dobrapolskamuzyka.net.pl,https://dobrapolskamuzyka.net.pl,,t,f,f,f,50,50.0,50.0
198,Dobry Towar Records,patron,,kontakt@dtrecords.pl,https://dtrecords.pl,,t,f,f,f,50,50.0,50.0
199,Dolnoslaska Scena Muzyczna,local_press,,scenads@o2.pl,https://o2.pl,,t,f,f,f,50,50.0,50.0
200,Dolnośląskie Centrum Informacji Kulturalnej OKiS,local_press,,cik@okis.pl,https://okis.pl,,t,f,f,f,50,50.0,50.0
201,Don't Panic POZNAŃ [RIP],local_press,,poznan@dontpaniconline.pl,https://dontpaniconline.pl,,t,f,f,f,50,50.0,50.0
202,Don't Panic SILESIA [RIP],local_press,,silesia@dontpaniconline.pl,https://dontpaniconline.pl,,t,f,f,f,50,50.0,50.0
203,Don't Panic TRÓJMIASTO [RIP],local_press,,stas@dontpaniconline.pl,https://dontpaniconline.pl,,t,f,f,f,50,50.0,50.0
204,Don't Panic WROCŁAW [RIP],local_press,,wroclaw@dontpaniconline.pl,https://dontpaniconline.pl,,t,f,f,f,50,50.0,50.0
205,Don't Panic [RIP],local_press,,karolina@dontpaniconline.com,https://dontpaniconline.com,,t,f,f,f,50,50.0,50.0
206,Dorosłe Dzieci,local_press,,piotr@metal-archives.com,https://metal-archives.com,,t,f,f,f,50,50.0,50.0
207,Dorota Dudek i Kacper Sulowski,radio,,kultura@centrum.fm,https://centrum.fm,,t,f,f,f,50,50.0,50.0
208,Drakka,local_press,,drakka@bosko.pl,https://bosko.pl,,t,f,f,f,50,50.0,50.0
209,Drop Of music,local_press,,kroplaciszy@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
210,Dropcard [UE],reviewer,,hello@dropcards.com,https://dropcards.com,,t,f,f,f,50,50.0,50.0
211,Dusza Słuchacza,local_press,,dominika@duszasluchacza.pl,https://duszasluchacza.pl,,t,f,f,f,50,50.0,50.0
212,Dwutygodnik,local_press,,redakcja@dwutygodnik.com,https://dwutygodnik.com,,t,f,f,f,50,50.0,50.0
213,Dzieje się w Lublinie,local_press,,dziejesiewlublinie@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
214,Dzieje się w Poznaniu (Moje Miasto Poznan),local_press,,redakcja@mmpoznan.pl,https://mmpoznan.pl,,t,f,f,f,50,50.0,50.0
215,Dzieje się w Warszawie (Nasze Miasto Warszawa),local_press,,warszawa@naszemiasto.pl,https://naszemiasto.pl,,t,f,f,f,50,50.0,50.0
216,Dziennik Łódzki,local_press,,mojreporter@dzienniklodzki.pl,https://dzienniklodzki.pl,,t,f,f,f,50,50.0,50.0
217,Dzień Dobry Łódź,local_press,,redakcja@ddlodz.pl,https://ddlodz.pl,,t,f,f,f,50,50.0,50.0
218,Dzika Banda,local_press,,robertziebinski@dzikabanda.pl,https://dzikabanda.pl,,t,f,f,f,50,50.0,50.0
219,Dzisiaj w Gliwicach,local_press,,kontakt24@dzisiajwgliwicach.pl,https://dzisiajwgliwicach.pl,,t,f,f,f,50,50.0,50.0
220,Dziś w Łodzi,local_press,,dzis.w.lodzi@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
221,Dźwięk Dobry,radio,,reporter@radio.katowice.pl,https://radio.katowice.pl,,t,f,f,f,50,50.0,50.0
222,Dźwięki STONERowane,radio,,stonerowane@gmail.com,https://gmail.com,,t,f,f,f,50,50.0,50.0
223,E-splot,local_press,,wojciech.zurek@e-splot.pl,https://e-splot.pl,,t,f,f,f,50,50.0,50.0
224,EDS Embroidery Design Studio,creator,,eds@eds-studio.com.pl,https://eds-studio.com.pl,,t,f,f,f,50,50.0,50.0
