index,venue_seed intake columns — re-importable as-is,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
57,After Ego,Szczecin,Poland,"Plac Stefana Batorego 4, Szczecin",,"electronic, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/szczecin/clubs/lvzelemkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Club.
58,Elefunk,Szczecin,Poland,"ul. Żołnierza Polskiego 2, Szczecin",,"rock, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/szczecin/clubs/lvzelemkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Live club.
59,Free Blues Club,Szczecin,Poland,"ul. Powstańców Wielkopolskich 20, Szczecin",https://freebluesclub.pl,"blues, rock",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/szczecin/clubs/lvzelemkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Blues/rock-focused.
60,Hala Odra,Szczecin,Poland,"Bulwar Maurycego Beniowskiego 5, Szczecin",,"electronic, alternative, live",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/szczecin/venues/lvzelemkk/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Industrial waterfront event venue.
61,Jazzment Klub,Szczecin,Poland,"ul. Kurkowa 4/1, Szczecin",,"jazz, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/szczecin/clubs/lvzelemkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Jazz-first.
62,Kosmos,Szczecin,Poland,"Wojska Polskiego 8, Szczecin",,"alternative, pop, film",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/szczecin/venues/lvzelemkk/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Multifunctional culture venue.
63,Krzywy Gryf,Szczecin,Poland,"ul. Kolumba 5, Szczecin",,"rock, metal, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/szczecin/clubs/lvzelemkkzr/,2026-09-22,High,Address only,Metal/rock club pitch,Strong live/alternative fit.
64,Peron 5,Szczecin,Poland,"ul. Stefana Czarnieckiego 8i, Szczecin",,"electronic, alternative",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/szczecin/clubs/lvzelemkkzr/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Club.
65,Alive,Wrocław,Poland,"Kolejowa 12, Wrocław",,"rock, metal, alternative",,,,Not publicly disclosed in reviewed public source.,,https://www.google.com/maps/search/?api=1&query=Alive+Wroclaw,2026-09-22,High,Phone,Metal/rock club pitch,Live music club.
66,Centrum Koncertowe A2,Wrocław,Poland,"Góralska 5, Wrocław",https://klub-a2.pl,"rock, metal, pop",,,,Not publicly disclosed in reviewed public source.,,https://www.google.com/maps/search/?api=1&query=Centrum+Koncertowe+A2+Wroclaw,2026-09-22,High,Address only,Metal/rock club pitch,Major concert venue.
67,Ciało,Wrocław,Poland,Wrocław,,"electronic, experimental",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/raev/pzylbvf/,2026-09-22,Low,Address only,Crossover / audience-fit pitch,Primarily electronic.
68,Firlej,Wrocław,Poland,Wrocław,https://firlej.wroc.pl,"alternative, jazz, experimental",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/wroclaw/clubs/,2026-09-22,Medium,Address only,Alternative/indie live pitch,Cultural center with live music.
69,Narodowe Forum Muzyki,Wrocław,Poland,"plac Wolności 1, Wrocław",https://www.nfm.wroclaw.pl,"classical, crossover, contemporary",,,,Not publicly disclosed in reviewed public source.,,https://www.google.com/maps/search/?api=1&query=National+Forum+of+Music+Wroclaw,2026-09-22,Low,Phone,Crossover / audience-fit pitch,Large institutional venue; lower priority for club metal.
70,Nietota,Wrocław,Poland,"Kazimierza Wielkiego 50, Wrocław",,"alternative, pop, dj",,,,Not publicly disclosed in reviewed public source.,,https://www.google.com/maps/search/?api=1&query=Nietota+Wroclaw,2026-09-22,Medium,Phone,Alternative/indie live pitch,Mixed live/DJ nightlife; less target-fit for metal.
71,Pola Marsowe,Wrocław,Poland,"Zalesie, Wrocław",,"rock, pop, festival",,,,Not publicly disclosed in reviewed public source.,,https://www.google.com/maps/search/?api=1&query=Pola+Marsowe+Wroclaw,2026-09-22,High,Address only,Metal/rock club pitch,Outdoor/event scale.
72,Stary Klasztor,Wrocław,Poland,"Jana Ewangelisty Purkyniego 1, Wrocław",https://www.staryklasztor.com.pl,"rock, folk, pop, singer-songwriter",,,,Not publicly disclosed in reviewed public source.,,https://www.google.com/maps/search/?api=1&query=Stary+Klasztor+Wroclaw,2026-09-22,High,Phone,Metal/rock club pitch,Large multi-room cultural/concert venue.
73,Transformator,Wrocław,Poland,Wrocław,,"electronic, experimental",,,,Not publicly disclosed in reviewed public source.,,https://goout.net/en/raev/pzylbvf/,2026-09-22,Low,Address only,Crossover / audience-fit pitch,Primarily electronic; crossover only.
74,WŁĄCZ SIĘ NA NOWE! NOOMN * VIRYA,Wrocław,,,,,,,,,,,,,,,
75,Łykend,Wrocław,Poland,Wrocław,,"rock, indie, alternative",,,,Not publicly disclosed in reviewed public source.,closed,https://www.facebook.com/Lykendcklub/,2026-09-22,High,Address only,Metal/rock club pitch,Historic live-music stop; verify current programming before outreach.
76,Hydrozagadka,Warsaw,Poland,"11 Listopada 22, 03-436 Warszawa",https://hydrozagadka.com/en/,"rock, metal, alternative, punk",300,,hydrozagadkaklub@gmail.com,No public booking deal terms found in reviewed public source,Active,https://biletomat.pl/wydarzenia/w/warszawa/w/hydrozagadka,2026-09-23,High,Direct public email,Pitch as Warsaw club routing / modern metalcore bill,300–350 concert capacity reported; long-running alternative concert room.
77,Wooltura,Łódź,Poland,"Wólczańska 40/42, 90-608 Łódź",https://www.facebook.com/wooltura,"metal, rock, hardcore, alternative",180,,,No public booking deal terms found in reviewed public source,Active,https://visitlodz.com/klub-wooltura/,2026-09-23,High,Website/social only,Small-room metal routing; emerging and touring bills,Regular live bands; venue explicitly described as a place for new bands.
78,Over The Under Pub,Bydgoszcz,Poland,"Dworcowa 51, 85-009 Bydgoszcz",https://overtheunder.pl/pub/,"rock, metal, punk, alternative",500,,overtheunderpub@gmail.com,No public booking deal terms found in reviewed public source,Active,https://bydgoszczmusic.com/en/spaces/music-clubs/,2026-09-23,High,Direct public email,500-capacity alternative room; strong guitar-music fit,Bydgoszcz underground; source lists approx. 500 capacity and rock/metal programming.
79,Naumanns Tanzlokal,Leipzig,Germany,"Karl-Heine-Straße 32, 04229 Leipzig",https://www.felsenkeller-leipzig.com/,"rock, metal, hardcore, alternative",300,,info@felsenkeller-leipzig.com,No public booking deal terms found in reviewed public source,Active,https://miz.org/en/institutions/naumanns-tanzlokal-i36470,2026-09-23,High,Direct public email,Leipzig club routing; metal/hardcore support bills,300 capacity; ~180 popular-music concerts/year; current 2026 metal shows listed.
80,Futurum Music Bar,Prague,Czechia,"Zborovská 7, 150 00 Praha 5",https://futurum.musicbar.cz/,"hardcore, metal, rock, punk",400,,futurum@musicbar.cz,No public booking deal terms found in reviewed public source,Active,https://www.pragueout.cz/klub/kluby-praha/futurum,2026-09-23,High,Direct public email,Ideal 400-room Czech routing stop for metalcore/hardcore,Current Prague venue; multiple public sources place capacity at 400–500.
81,Modrá Vopice,Prague,Czechia,"K Žižkovu 381/1, Praha",http://www.modravopice.eu,"metal, rock, punk",150,,produkce@modravopice.eu,No public booking deal terms found in reviewed public source,Active,https://adresar.soundczech.cz/en/?capacity%5B%5D=0-200&capacity%5B%5D=1500-4000&capacity%5B%5D=200-500&capacity%5B%5D=4000-inf&genres%5B%5D=74&genres%5B%5D=75&genres%5B%5D=77&regions%5B%5D=hlavni-mesto-praha&regions%5B%5D=karlovarsky-kraj&regions%5B%5D=kraj-vysocina&regions%5B%5D=liberecky-kraj&regions%5B%5D=plzensky-kraj&regions%5B%5D=zlinsky-kraj&type=mista,2026-09-23,High,Direct public email,DIY/underground Prague stop; compact room,SoundCzech lists 150 capacity and metal/rock programming.
82,Nová Chmelnice,Prague,Czechia,"Koněvova 2597/219, Praha 3, 130 00",https://www.novachmelnice.cz/,"hardcore, metal, punk, rock, alternative",300,,novachmelnice@gmail.com,No public booking deal terms found in reviewed public source,Active,https://adresar.soundczech.cz/en/?capacity%5B%5D=0-200&capacity%5B%5D=1500-4000&capacity%5B%5D=200-500&capacity%5B%5D=4000-inf&genres%5B%5D=74&genres%5B%5D=75&genres%5B%5D=77&regions%5B%5D=hlavni-mesto-praha&regions%5B%5D=karlovarsky-kraj&regions%5B%5D=kraj-vysocina&regions%5B%5D=liberecky-kraj&regions%5B%5D=plzensky-kraj&regions%5B%5D=zlinsky-kraj&type=mista,2026-09-23,High,Direct public email,300-cap Prague club with explicit hardcore/metal tags,SoundCzech lists 300 capacity and hardcore/metal/punk/rock genres.
83,Kabinet Múz,Brno,Czechia,"Sukova 49/4, 602 00 Brno",http://www.kabinetmuz.cz,"hardcore, metal, punk, rock, alternative",230,,info@kabinetmuz.cz,No public booking deal terms found in reviewed public source,Active,https://openhousebrno.cz/en/kabinet-muz,2026-09-23,High,Direct public email,Brno small-room route; heavy alternative and hardcore bills,Renovated black-box hall accommodates about 230 concert-goers; SoundCzech tags metal/hardcore.
84,Melodka,Brno,Czechia,"Pisárecká 525/7a, 603 00 Brno",https://www.melodka.cz/,"metal, hardcore, rock, alternative",350,,,No public booking deal terms found in reviewed public source,Active,https://www.darkzin.cz/kluby-cesko/melodka/,2026-09-23,High,Website only,Strong Brno metal route; 2026 extreme-metal bills,Active in current location; current source reports up to 350 capacity and 2026 metal/hardcore events.
85,m13 klub,Brno,Czechia,"Benešova 22, 602 00 Brno",https://www.m13.cz/,"metal, rock",150,,info@m13.cz,No public booking deal terms found in reviewed public source,Active,https://adresar.soundczech.cz/en/?genres%5B%5D=65&genres%5B%5D=66&genres%5B%5D=70&regions%5B%5D=jihomoravsky-kraj&regions%5B%5D=karlovarsky-kraj&type=mista,2026-09-23,Medium,Direct public email,Tiny heavy-music room for lower-cost Czech routing,SoundCzech lists 150 capacity and metal/rock focus.
86,Barrák music club,Ostrava,Czechia,"Fügnerova 595/1, 702 00 Ostrava",https://www.barrak-club.cz/,"metal, hardcore, rock, punk",800,,,No public booking deal terms found in reviewed public source,Active,https://www.orlovezabavy.cz/profile-19204-barrak-music-club,2026-09-23,High,Website only,High-value Ostrava stop; can support larger shared bills,Main hall up to 800 plus smaller 100-cap hall; current programming includes metal and hardcore.
87,Majestic Music Club,Bratislava,Slovakia,"Karpatská 2, 811 05 Bratislava",https://majestic.sk/,"metal, rock, punk, alternative",600,,booking@openrock.sk,No public booking deal terms found in reviewed public source,Active,https://majestic.sk/,2026-09-23,High,Direct booking email,600-cap Bratislava stop for Czech/Slovak/Polish routing,Official site lists current 2026 rock programming and booking@openrock.sk; external venue source reports up to 600 standing.
88,Badehaus Berlin,Berlin,Germany,"Revaler Straße 99, 10245 Berlin",https://badehaus-berlin.com,"live music, rock, metal, alternative",250,booking@badehaus-berlin.com,booking@badehaus-berlin.com,No public booking deal terms found in reviewed public source,Active,https://badehaus-berlin.com/en/veranstalter/,2026-09-23,High,Direct public booking email,Pitch modern metalcore/deathcore club show,350+ concerts/parties yearly; main floor 250 concert guests.
89,Cassiopeia Berlin,Berlin,Germany,"Revaler Str. 99, 10245 Berlin",https://www.cassiopeia-berlin.de,"metalcore, hardcore, rock, alternative",728,,info@cassiopeia-berlin.de,No public booking deal terms found in reviewed public source,Active,https://www.cassiopeia-berlin.de/club,2026-09-23,High,General public email,Pitch modern metalcore/hardcore bill,"2026 programming includes Metalcore, Straight Edge Hardcore, Doom Metal and Metal shows."
90,Stellwerk Hamburg,Hamburg,Germany,"Hannoversche Str. 85, 21079 Hamburg",https://stellwerk-hamburg.de,"live music, rock, hardcore, alternative",199,,kontakt@stellwerk-hamburg.de,No public booking deal terms found in reviewed public source,Active,https://stellwerk-hamburg.de/vermietung/,2026-09-23,Medium,General public email,Pitch compact routed club show,Concert hall holds up to 199; venue explicitly supports live performances and public concert rentals.
